"artist","title","times_played"
The Lumineers,Brightside,163
Cold War Kids,What You Say,152
Milky Chance,Colorado,144
New West,Balenciaga,140
Nathaniel Rateliff & The Night Sweats,Survivor,139
Coin,Chapstick,138
Arkells,Arm In Arm,131
Dear Rouge,Fake Fame,129
Billy Talent,End Of Me (feat. Rivers Cuomo),117
Boy Golden,KD and Lunch Meat,110
The Darcys,Running For The Hills,108
Fake Shark,Loser,91
The War On Drugs,I Don't Live Here Anymore (feat. Lucius),87
The Royal Foundry,Listen To The Beat,87
July Talk,I Am Water,85
Alt-J,U&ME,83
Foals,Wake Me Up,75
Rezz & Metric,Paper Walls,73
Chet Faker,Low,72
Bakar,Hell N Back,71
Cage The Elephant,Social Cues,70
Dayglow,Can I Call You Tonight?,69
Matt Maeson,Hallucinogenics,68
The Black Keys,Wild Child,67
Cannons,Fire For You,67
Black Pumas,Colors,66
Vance Joy,Missing Piece,65
Florence and The Machine,My Love,63
Twenty One Pilots,Shy Away,62
Absofacto,Dissolve,60
Weezer,A Little Bit Of Love,58
Dear Rouge,Gimme Spirit,58
The Marias,Hush,58
Metric,All Comes Crashing,56
Anyway Gang,Reckless Reckless,55
Arkells ft Cold War Kids,Past Life,55
The Strumbellas,Greatest Enemy,53
The Glorious Sons,Hold Steady,53
Bob Moses,Love Brand New,52
Hotel Mira,The Eyes On You,51
Black Pistol Fire,Look Alive,51
grandson,Dirty,51
The Blue Stones,One By One,51
Our Lady Peace,Stop Making Stupid People Famous,50
Kings Of Leon,The Bandit,50
"Rezz, Grabbitz",Someone Else,49
Said The Whale,Honey Lungs,48
Death Cab For Cutie,Gold Rush,44
Yukon Blonde,Get Precious,43
Of Monsters And Men,Alligator,42
The Interrupters,In The Mirror,41
Liam Gallagher,Everything's Electric,39
The Sheepdogs,Keep On Loving You,38
Art d'Ecco,Head Rush,37
The Beaches,Lame,37
Ruby Waters,Blow,36
Portugal. The Man,"What, Me Worry?",36
Mother Mother,I Got Love,36
Sam Roberts Band,Take Me Away,36
Milky Chance,Synchronize,35
Mother Mother,Hayloft II,35
The Beaches,Blow Up,35
The Royal Foundry,Little High Little Low,34
The Killers,Mr. Brightside,34
JJ Wilde,Mercy,33
Gorillaz,Feel Good INC,33
Arcade Fire,"The Lightning I, II",32
Death Cab For Cutie,Northern Lights,32
The Head and the Heart,Missed Connection,31
The Royal Foundry,okay?,31
The Killers,Somebody Told Me,31
Arkells,You Can Get It (feat. K.Flay),31
Vance Joy,Clarity,30
Lorde,Team,30
New Radicals,You Get What You Give,30
Tame Impala,Is It True,30
Semisonic,Closing Time,30
Franz Ferdinand,Take Me Out,30
Meg Myers,Running Up That Hill,30
Modest Mouse,Float On,29
Coldplay,Clocks,29
SHAED,Trampoline,29
Mother Mother,Sick Of The Silence,29
Kings Of Leon,Use Somebody,29
Gorillaz,Clint Eastwood,29
The White Stripes,Seven Nation Army,29
Red Hot Chili Peppers,Black Summer,29
Florence & The Machine,Dog Days Are Over,28
Silversun Pickups,Lazy Eye,28
Mumford & Sons,I Will Wait,28
